incident_id,timeline.incident.day,timeline.incident.month,timeline.incident.time,timeline.incident.year,actor,action,attribute.confidentiality,attribute.integrity,attribute.availability,asset,asset.variety,confidentiality.medical_records,confidentiality.payment_records,confidentiality.personal_records,confidentiality.total_record_count,victim.employee_count,victim.state,victim.country,victim.victim_id,summary,reference
4CA9A72F-9FDC-4003-8E9A-5E24BA5B461B,21.0,5.0,,2012,external,malware,True,True,False,user dev,u - desktop,0.0,0.0,0.0,2988.0,101 to 1000,TX,US,St. Mark's Medical Center,"An employee's computer was found to contain malware.  The malware infection began on May 21, 2012 and was discovered on November 15, 2012.  Files stored on the computer contained billing information with patient names, Social Security numbers, account numbers, medical record numbers, dates of birth, gender, treatment dates, insurance provider names, and account balances.",http://www.phiprivacy.net/st-marks-medical-center-notifies-patients-after-finding-malware-on-system/
89A98591-DE7B-4029-BBC1-EE15C78D4EB9,,,,2015,internal,error,True,False,False,media,m - documents,0.0,0.0,0.0,0.0,large,IL,US,Springfield Regional Medical Center,Paper records in dumpster,http://wdtn.com/investigative-story/hundreds-of-medical-records-found-in-dumpster/
1c0cdc80-eeac-11e7-b683-c1703914e4a4,1.0,3.0,,2016,internal,misuse,True,False,False,server,s - database,7445.0,0.0,0.0,7445.0,10001 to 25000,WV,US,WVU Medicine University Healthcare,"University Healthcare officials became aware Jan. 17, of an FBI and local law enforcement investigation into the unauthorized access, use and disclosure of personal information contained on the electronic systems of University Healthcare by an employee of Berkeley Medical Center in Martinsburg.",http://www.journal-news.net/news/local-news/2017/02/7445-patients-notified-of-university-healthcare-information-breach/; https://www.databreaches.net/virginia-woman-admits-stealing-wvu-medicine-university-healthcare-patient-information/; http://www.heraldmailmedia.com/news/tri_state/west_virginia/va-woman-pleads-guilty-in-w-va-hospital-id-theft/article_5030c018-c22a-562b-86da-39a6b6d6cbc4.html
29951776-2357-442C-AB67-E53A45F2C9E0,,,,2015,internal,misuse,True,False,False,server,s - database,0.0,0.0,44000.0,44000.0,1001 to 10000,TX,US,Methodist Healthcare,"A former San Antonio nurse, who allegedly stole the social security numbers of patients and used that information to file for unemployment checks, is set to go before a federal judge this week.  Andrea Brooks worked at Methodist Specialty and Transplant hospital during most of 2012.  According to court papers, obtained by 1200 WOAI news, she would steal the personal information of patients, used a work computer to log onto the Texas Workforce Commission website, make fake employer information and then choose the Debit Card option to receive benefit funds.    According to a court affidavit, she scammed the Texas Workforce Commission out of $265,494.  Brooks was caught when the TWC noticed 179 fraudulent unemployment insurance claims that came from one particular computer at the Hospital.  Further investigation found 83 fraudulent claims from Brooks home computer, 152 fraudulent claims from her Sprint cell phone and 46 fraudulent claims from a phone that she had used in Puerto Rico while on her honeymoon.  TWC Spokesman Mark Lavergne says checks for this type of fraud are a high priority for the agency.  ""Texas Workforce Commission regularly cross-matches unemployment insurance claims with databases to detect possible fraud,"" he tells 1200 WOAI news.  ""So that we can ensure that funds are available exclusively to those who meet the eligibility requirements.  The majority of the victims in this case were either patients who were organ donors or transplant recipients.  Brooks faces charges of mail fraud and aggravated identity theft.  Brooks worked as a transplant assistant at Methodist Specialty & Transplant Hospital from Jan. 16, 2012, until she was fired on Nov. 14, 2012, according to her plea deal. She also had worked there from Nov. 2, 2008, through Jan. 25, 2009, the plea deal said. During those times, she had access to information of patients and donors and stole names, Social Security numbers and dates of birth, the plea documents state.",http://www.databreaches.net/tx-former-methodist-healthcare-employee-sentenced-to-more-than-10-years-stole-patient-info-for-unemployment-benefits/; http://woai.iheart.com/articles/local-news-119078/san-antonio-nurse-allegedly-swiped-patient-11848103/; https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf
CE62667C-4636-448A-A8C3-2581EBF496D3,17.0,12.0,,2013,internal,misuse,True,False,False,user dev,u - desktop,1900.0,0.0,0.0,1900.0,1 to 10,MT,US,Shiloh Medical Clinic,Unauthorized access exposes 1900 records.,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf
7133BB82-0DA2-4F38-AAC7-922BDE08C15B,28.0,7.0,,2014,internal,error,True,False,False,user dev,u - desktop,0.0,0.0,6044.0,6044.0,101 to 1000,OK,US,Oklahoma City Indian Clinic,"Oklahoma City Indian Clinic recently notified 6,044 patients that their names, email addresses and clinic-specific patient numbers were compromised after the following event: On July 28, 2014, an email was sent from the clinic to 360 patients advertising an upcoming adolescent health fair. A spreadsheet containing names, email addresses and clinic-specific patient numbers of 6,044 clinic patients was inadvertently attached to the email. The sender forwarded a message and failed to remove the attachment, which was used as a worksheet to determine the recipients of the email. The patient number is used for internal clinic purposes and is not the patients social security number. The clinic became aware of the incident, and a recall message was sent the same day. The clinic also sent an email to the recipients notifying them that the spreadsheet was not intended for them and requesting that they delete it. A notification letter was sent to all patients whose names were on the spreadsheet on Aug. 18. Oklahoma City Indian Clinic understands the importance of safeguarding our patients personal information and regret that this incident occurred, said Lysa Ross, COO of OKCIC. We have notified our patients of the breach and are taking steps to prevent this from happening again. We encourage patients to call with any questions or concerns. The type of information that was released would not create potential for identity theft. However, patients may receive unwanted emails and should monitor their email accounts. Patients may call toll free 1-844-MYOKCIC Monday  Friday between the hours of 8 a.m. and 5 p.m. with any questions.",http://www.phiprivacy.net/recent-updates-to-hhss-public-breach-tool/; http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html
4CA67861-C681-4020-A2DC-D14D12BC682E,10.0,3.0,,2011,external,hacking,True,False,False,server,s - mail,9393.0,0.0,0.0,9393.0,101 to 1000,AZ,US,Phoenix Health Plan,Hacking exposes 9393 records,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html 
725BF039-79DB-4C3E-88A2-83878E051BAE,27.0,7.0,,2012,partner,misuse,True,False,False,media,m - flash drive,1112.0,0.0,0.0,1112.0,1 to 10,CA,US,Hamner Square Dental,,
627F460D-A472-4333-B8E7-0EC59D0FD4DA,,,,2010,internal,misuse,True,False,False,server,s - database,8678.0,0.0,0.0,8678.0,unknown,FL,US,,"A Miami-Dade County resident has been sentenced to 61 months in prison, followed by two years of supervised release.  Noel Barrientos previously pled guilty to one count of possessing fifteen or more access devices (social security numbers of other people) and one count of aggravated identity theft.  According to court documents, law enforcement executed a search warrant at Barrientos residence based on suspected narcotics activity. During the search warrant, officers observed and recovered a total of 15 credit/debit cards that were located throughout the premises all in different names including names of men and women not associated with Barrientos or his residence. Three of the cards were located in Barrientos wallet.  Court documents also state that during the search warrant, law enforcement found a computer that contained a file with the names, dates of birth, and social security numbers of 8,678 unique patients. Agents determined that the list came from a doctors office located on Sunset Drive in South Miami. A former doctors office employee, Gillian Armstrong [1:14-cr-20339], had access to the patient list and sold it to Barrientos. Barrientos sold the names to other individuals who used the fraudulently obtained names to file fraudulent income tax returns. Law enforcement officers also tracked fraudulent income tax return filings to Barrientos residence.  In September, 2014, Armstrong was sentenced to 36 months in prison, followed by three years of supervised release for her role in the scheme.  SOURCE: U.S. Attorneys Office, Southern District of Florida  Not surprisingly, the doctors office was not named in either the release or the public court filings, and inspection of HHSs public breach tool does not reveal any breached entity with the exact number mentioned in the press release. Inspection of the proffer in Armstrongs case, however, does provide some interesting details about the method and means of the breach:  ARMSTRONG acted as a thief in this case, stealing PII for Barrientos who then sold it to third parties. ARMSTRONG became involved in late 2010, early 2011, when she was desperate for money. At the time, ARMSTRONG was a single mother with a debilitating crack cocaine addiction. ARMSTRONG was working for a doctors office in South Miami at the time of the theft while she was living out of her car.  During that time-period, ARMSTRONG agreed to sell Barrientos PII stolen from the doctors office in exchange for money. At first, ARMSTRONG copied a few names down by hand while at work and sold them to Barrientos. ARMSTRONG was able to access the PII from the doctors office through an off-site database company (the database). At the time, a1l patient information was accessible by logging onto the database website with a user name and password. Each employee has a unique username and password.  Eventually ARMSTRONG gave Barrientos the username and password to the database account. Barrientos downloaded information in batches and sold it to others. ln turn, Barrientos paid ARMSTRONG. On or about November 18, 2011, ARMSTRONG was fired from the doctors office. ARMSTRONG stated that when she told Barrientos that she was fired, he told her that he downloaded whatever number of names he could fit on a USB drive andtold her, dont worry.  Even with that added detail, however, there is nothing in HHSs breach tool that seems to really match up. By all accounts, the massive/major download occurred in November, 2011.  If anyone can figure out which incident this might be, let me know. I suppose its possible that the breach was either reported with a different date or different number of affected, or that it was reported but hasnt yet been added to the breach tool.  Comparing a list of doctors offices on Sunset Drive in South Miami to entities on the breach tool does not reveal any matches that I can see.  The proffer in Barrientoss case adds one more detail of note: when law enforcement officers examined the Bread file on Barrientoss computer, the list of over 8,000 patients included the patients names, social security numbers, dates of birth, chart numbers, and insurance information. The patients, then, were also at risk of medical identity theft, although theres nothing in the court records that indicated any reports of that.",http://www.phiprivacy.net/fl-miami-dade-county-resident-sentenced-in-identity-theft-scheme-involving-over-8600-patients-identities/
6D7B8F2B-F990-40AA-9358-2C8EA4A6DCB5,22.0,4.0,,2015,external,physical,True,False,True,unknown,unknown,0.0,0.0,0.0,0.0,1001 to 10000,CA,US,U.S. HealthWorks,"U.S. HealthWorks, a California-based health care service provider specializing in urgent care and occupational medicine, recently alerted employees to a data breach after a password protected (but unencrypted) laptop was stolen in April.  According to its website, the company operates over 200 locations in 20 states and has 3,600 employees, but it was unclear in the notification of the breach exactly how many people may be affected.  The letter explains how an internal investigation began shortly after the company was notified on April 22, 2015, that a laptop issued to an employee was stolen from their vehicle overnight.  ""On May 5, 2015, we determined that the employee's laptop was password protected, but it was not encrypted. After conducting a thorough review, we determined that the laptop may have contained files that included your name, address, date of birth, job title, and Social Security number. Although we continue to work with law enforcement, at this time, the computer has not been located,"" U.S. HealthWorks said in its notice letter to employees.  The company did not confirm whether any personal information has been accessed or used inappropriately, but it said it will offer employees free enrollment in identity protection services for one year as a precautionary measure. U.S. HealthWorks reported efforts to ensure compliance to its laptop encryption policy going forward, including an enhancement to deployment procedures for laptops and full disk encryption.  With the number of security breaches on the rise, the importance of organizations controlling and protecting data is critical.  ""If you have laptops in your enterprise environment, and let's face it who doesn't, you need to address this issue. In this day and age there really isn't a good reason to not encrypt the hard drives on your laptops,"" wrote Forbes contributor Dave Lewis in a post Monday (June 1).",https://oag.ca.gov/system/files/USHW%20Letter_0.PDF; http://www.pymnts.com/news/2015/unencrypted-laptop-exposes-us-healthworks-to-data-breach/
0979e7c0-9d53-11e7-88fd-d58755d0feda,15.0,5.0,,2017,external,hacking,True,False,True,media,m - documents,0.0,0.0,16.0,16.0,unknown,Utah,US,Utah Department of Family and Child Services,he private information of 16 people was stolen in May after a Utah Department of Family and Child Services employee’s vehicle was broken into and copies of identification records needed for background checks were stolen.,https://www.ksl.com/?sid=44663808&nid=148
288A20BA-801D-4CA9-AEC4-16627F2D9D28,18.0,10.0,,2010,external,physical,True,False,True,user dev,u - laptop,585.0,0.0,0.0,585.0,unknown,TX,US,LoneStar Audiology Group,,
6a669590-da31-11e7-a58f-dff506a792fb,,4.0,,2014,internal,misuse,True,False,False,server,s - database,1.0,0.0,0.0,1.0,unknown,,CA,Manioba Health,Healthcare employee accesses medical records of daughter,http://www.cbc.ca/news/canada/manitoba/phia-manitoba-health-employee-daughter-1.4303743
5D858868-FEFF-4AB7-94E2-DCD9C5EFAFD4,1.0,8.0,,2013,external,physical,True,False,True,user dev,u - laptop,0.0,0.0,0.0,0.0,11 to 100,IN,NZ,Southern Primary Health Organisation,Patients' privacy may have been breached after the Southern Primary Health Organisation clinic in Invercargill was broken into.,http://www.stuff.co.nz/national/health/9104793/Patient-details-on-stolen-laptops (20130830)
51F4DF73-2178-44B4-B11D-B3922A5A1649,,,,2013,internal,error,True,False,False,media,m - documents,0.0,0.0,0.0,0.0,unknown,GA,US,Family Intervention Services,"A caller contacted a local news team member and an investigation of mishandled medical documents began.  The documents were in an unlocked dumpster and contained Social Security numbers, bank account information, addresses, dates of birth, and health information.  The documents were associated with Family Intervention Services and an unnamed orthopedic office.",http://www.wsbtv.com/news/news/local/personal-medical-records-found-paulding-co-dumpste/nWghG/
DFBED92D-948F-4784-8A3C-CCFAC7C0382B,9.0,9.0,,2013,external,physical,True,False,True,user dev,u - laptop,0.0,0.0,0.0,0.0,unknown,CA,US,University of California San Francisco Medical Center,"on September 10, 2013, UCSF learned that an unencrypted laptop was stolen from the locked vehicle of a UCSF Liver Transplant employee on September 9, 2013.",http://oag.ca.gov/system/files/Patient%20Notification%20Letter%20Sample_0.pdf
50510AC2-EA43-473A-BE08-8D18D385B44B,26.0,6.0,,2010,internal,error,True,False,False,user dev,u - desktop,1001.0,0.0,0.0,1001.0,1 to 10,OH,US,Children's Medical Center of Dayton,,
91602D39-0E58-447F-A098-B619B340B628,22.0,2.0,,2010,external,physical,True,False,True,media,m - tapes,10000.0,0.0,0.0,10000.0,101 to 1000,MI,US,"Goodwill Industries of Greater Grand Rapids, Inc.",,
9159572E-339C-44A2-ADBD-AAB03315B087,9.0,6.0,,2014,external,hacking,True,False,False,server,s - database,31677.0,0.0,0.0,31677.0,101 to 1000,UT,US,Central Utah Clinic,"More than 30,000 patients of the Central Utah Clinic in Provo, Utah might have had their personal health information viewed by an unauthorized intruder who broke into one of the clinic's servers.  How many victims? 31,677 patients, according to a Central Utah Clinic release   What type of personal information? Possibly names, dates of birth, Social Security numbers, addresses and phone numbers  What happened? A server at the Central Utah Clinic was compromised by unauthorized intruders in June. The server held some patient information, but also a subset of written imaging and radiology reports dating back to 2010 and earlier.  What was the response? All victims are being notified by letter, and the affected server was isolated. The clinic also contacted authorities and is offering free personal credit monitoring services to the patients.  Details: No evidence has been found to indicate that personal information was viewed or copied from the server to an unauthorized location. Also, the clinic's other servers remained secure.  Quote: It is important to understand there is no indication that any of our patients' personal information was viewed or copied, said Scott Barlow, CEO of Central Utah Clinic, in a press release. Regardless, we are committed to transparency and working with our patients to mitigate possible effects of this occurrence.  Source: centralutahclinic.com, PUBLIC NOTICE: Potential Central Utah Clinic HIPAA Breach, 2014.",http://www.scmagazine.com/central-utah-clinic-notifies-over-30k-patients-of-potential-hipaa-breach/article/370959/; http://www.centralutahclinic.com/news/potential-hipaa-breach
0DE25B18-6D77-423F-87CF-163326E9FA0E,27.0,2.0,,2013,external,physical,True,False,True,user dev,u - desktop,0.0,0.0,0.0,700.0,1001 to 10000,UT,US,Valley Mental Health,The February 27 theft of a computer resulted in the exposure of patient information.,http://www.http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html
dcc75270-a7bc-11e7-9f87-7fffd7137a55,,12.0,,2016,internal,error,True,False,False,media,m - documents,3500.0,0.0,0.0,3500.0,101 to 1000,New York,US,"Coney Island Hospital, New York",Supervisor at a NYC hospital allowed a volunteer to enter data in a log book that contained PHI data. The employee had not been properly vetted through HR at the facility and should not have had access to the data. No proof that the volunteer misused the information.,https://www.scmagazine.com/coney-island-hospital-data-breach-affects-3500/article/662453/
8FDAE387-9E27-497A-B978-5C4440673CB1,13.0,11.0,,2012,external,physical,True,False,True,user dev,u - laptop,0.0,0.0,0.0,0.0,unknown,NJ,US,Erickson Living,"The five laptops stolen in November from Riderwoods physical therapy offices contained patient names and addresses, policy numbers, dates of birth and certain insurance information, according to Erickson Livings website.  Erickson Livings Dan Dunne, director of communications, said the thefts were highly unusual in the Silver Spring retirement communitys 13-year history.  It has been three months since the last theft occurred at the facility and five months since the laptops were stolen prompting the facilitys HIPAA Privacy Rule violation with the U.S. Department of Health and Human Services. HIPAA provides standards and federal protection for personal health information.  A public notice of the HIPAA breach notification on Ericksons website said five laptops were stolen from Riderwoods physical therapy offices on the weekend of Nov. 17 through Nov. 18. The statement also says the incident was reported to local law enforcement authorities, and the laptops were password protected.  An internal review reveals that not all of the files on the laptops were encrypted, including patient names, information about services provided, dates of birth and certain insurance information.  Upon further review, the statement says, unencrypted information also included Erickson health plan member names, addresses and policy numbers.  Dunne said Riderwood remains committed to its standard of privacy and has taken multiple actions to safeguard patient information. Those measures include updating systems to assure encryption of files and devices, revised security policies and procedures and additional training for employees on federal and state privacy and information security requirements.  Riderwood has always taken the privacy of its residents and patients seriously by carefully managing their health information, Dunne said.  While Dunne would not confirm whether residents locks have been changed following the string of thefts occurring in eight separate units where there was no sign of entry, he said they have increased campus surveillance, improved border fencing and security and established a plan for re-keying apartment locks and modification to onsite key management protocol.  Due to the ongoing investigation, we are unable to discuss anyone who may be considered a suspect, Dunne said. Once apprehended, we intend to prosecute those involved to the fullest extent of the law.  Dunne said he does not believe any of the stolen items have been recovered as of Tuesday morning. The HIPAA notice did mention that the motive of the crime appears to be the laptops themselves and not the information contained on them.  Montgomery County Police would not comment on the incidents but said they are working with the Prince Georges County Police in their investigation. The community is located in both jurisdictions. ",http://www.gazette.net/article/20130402/NEWS/130409912/1022/riderwood-computer-thefts-launches-hipaa-breach&template=gazette; http://www.ericksonliving.com/silver-spring/privacy-breach-march2013.asp
0ECE501C-2EDB-4DF1-A31D-C855624374A7,,,,2013,external,physical,True,False,True,media,m - documents,537.0,0.0,0.0,537.0,1 to 10,NY,US,Hospital for Special Surgery,A desktop computer and paper documents were stolen from an undisclosed location.  ,http://www.phiprivacy.net/and-yet-9-more-breaches-added-to-hhss-breach-tool/; http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/HealthInfoBreaches.csv
c241a930-d581-11e7-af4f-6b5d4514198e,,,,2016,internal,error,True,False,False,server,s - database,0.0,0.0,0.0,0.0,unknown,CA,US,Silver Creek Fitness & Physical Therapy,"On September 11, 2016, Silver Creek was notified by its billing and software companies that its Amazon ""S3"" storage account was vulnerable because it was accessible to persons outside their organization, and that a security researcher who works for a software company accessed and downloaded information from the storage account.  This storage account contained, among other things, protected health information of certain Silver Creek Fitness & Physical Therapy patients.  The billing and software companies immediately took steps to secure the storage account and launched an investigation to determine to what extent sensitive information was accessed or acquired.  They determined that the storage account was vulnerable from May, 2016 to September 11, 2016 and that information was accessed and downloaded by the security researcher on or around September 10, 2016.  ",http://www.prnewswire.com/news-releases/silver-creek-fitness--physical-therapy-provides-notice-of-data-security-incident-300350009.html; https://oag.ca.gov/ecrime/databreach/reports/sb24-64521
3c576660-8ccb-11e7-811e-83915e56fc98,,8.0,,2017,internal,misuse,True,False,False,server,s - database,0.0,0.0,0.0,0.0,101 to 1000,,IN,Narmada Hospital,"IT head of hospital, former employee booked for data theft - Narmada Hospital",http://thehitavada.com/Encyc/2017/8/8/First-case-of-data-theft-at-hospital.aspx; http://indiatoday.intoday.in/story/it-head-of-hospital-former-employee-booked-for-data-theft/1/1020758.html
C8848CF1-D5D0-4E14-A6FE-CF61594E78B4,1.0,11.0,,2009,unknown,unknown,True,False,False,media,m - documents,1438.0,0.0,0.0,1438.0,1001 to 10000,CA,US,Mills-Peninsula Health Services,,
9B63EB3D-F818-4EBD-8533-5DDEB6B71F22,2.0,12.0,,2010,external,physical,True,False,True,media,m - documents,1500.0,0.0,0.0,1500.0,1001 to 10000,FL,US,Holy Cross Hospital,,
795ce020-af4a-11e7-906a-bb7346b48a5e,,11.0,,2016,external,hacking,True,False,False,server,s - web application,0.0,0.0,0.0,0.0,1 to 10,Connecticut,US,"Best Health Physical Therapy, LLC (Best Health)",Best Health Physical Therapy Reports Data Security Incident,http://healthitsecurity.com/news/physical-therapy-facility-reports-data-security-incident
18C585D7-5C51-4A8C-ADFE-C990F19E6CA6,2.0,5.0,,2016,internal,error,True,False,False,server,s - mail,0.0,0.0,0.0,0.0,101 to 1000,CA,US,California Health Care Facility, erroneously emailed to an unauthorized recipient ,https://www.databreaches.net/california-health-care-facility-email-gaffe-results-in-notifications/; https://oag.ca.gov/system/files/CHCF%20Privacy%20Breach%20Letter_0.pdf
7C718394-9BE8-49C0-A902-CFC82CC6DCCA,5.0,11.0,,2010,external,physical,True,False,True,user dev,u - desktop,501.0,0.0,0.0,501.0,10001 to 25000,OH,US,OhioHealth Corporation dba Grant Medical Center,,
0D5E384A-4547-4E1B-BB77-37BC7FE33395,14.0,2.0,,2013,external,malware,True,True,False,user dev,u - desktop,0.0,0.0,0.0,43000.0,unknown,WI,US,Froedtert Health,"A computer virus was discovered on an employee's work computer account on December 14, 2012.  One of the files on the employee's computer contained patient names, addresses, telephone numbers, dates of birth, medical record numbers, names of health insurers, diagnoses, and other clinical information.  A limited number of Social Security numbers were also exposed.","http://www.spamfighter.com/News-18210-Froedtert-Hospital-Declares-Computer-Security-Hack.htm, http://www.databreachwatch.org/devil-in-the-details-data-breach-notification-letter/, http://www.todaystmj4.com/news/local/191609761.html, http://www.froedterthealth.org/computer-security-incident, http://www.todaystmj4.com/news/local/191181111.html"
D1D14E38-6896-4EDB-BA54-636C9E9E39EE,25.0,4.0,,2013,unknown,unknown,True,False,False,media,m - documents,5200.0,0.0,0.0,5200.0,1 to 10,FL,US,Jacksonville Spine Center,Approximately 5200 records were disclosed in paper-based security incident. ,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html
6D4A5799-88D3-411E-B6DD-9CE2DE5546AF,,,,2012,external,physical,True,False,True,server,s - unknown,0.0,0.0,0.0,961.0,101 to 1000,CA,US,SHIELDS For Families,"Individuals stole the program's computer server where personal information was stored; as well as a server, monitor and keyboard. ",http://www.phiprivacy.net/?p=9771; http://1shields1.ipower.com/hipaa/
A8B2E146-A3C5-44ED-8C51-387F38C8D951,,,,2014,internal,misuse,True,False,False,server,s - mail,0.0,0.0,0.0,0.0,unknown,,GB,West Herts Hospitals NHS Trust,"Meanwhile Samantha Jones, chief executive of West Herts Hospitals NHS Trust said staff had been informed of three information breaches.  She said: On two separate occasions, two members of staff sent staff data to their personal email address so they could work on it while out of the office.  Ms Jones said that as this was contrary to trust policy, those employees would be subject to disciplinary procedures.  In addition, staff data was accidentally sent to a staff member at another NHS trust.  None of the three breaches involved patient data.  However the type of data sent included information such as the name, date of birth, national insurance number, address, salary, professional registration and, if supplied by the staff member, their sexuality and religion.  Ms Jones said that immediate steps had been taken to prevent any further breaches, and an internal investigation has also been launched.  She added: I have apologised on behalf of the trust board to our staff.  But the breaches have been criticised by St Albans MP Anne Main who said: This raises a lot of questions. People need to know their data is safe, and this isnt good enough.",http://www.hertsad.co.uk/news/st_albans_cases_highlighted_by_probe_into_data_breaches_by_police_and_health_trust_1_3825602
7EE7F751-422B-45F4-A444-5BCFFBF82E0B,22.0,2.0,,2010,external,physical,True,False,True,server,s - unknown,1000.0,0.0,0.0,1000.0,1 to 10,MO,US,"Mid America Kidney Stone Association, LLC",,
ec902e80-db78-11e7-b589-fd57f91024a3,,,,2017,internal,misuse,True,False,False,server,s - database,0.0,0.0,0.0,0.0,10001 to 25000,,GB,The University Hospitals of North Midlands NHS Trust,Healthcare employee misuse,https://ico.org.uk/action-weve-taken/enforcement/linda-reeves/
