Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
11/1/11,215,4%,2%,1%,1%,3%,3%,2%,2%,0%,2%,2%,3%,3%,1%,1%,3%,1%,3%,1%,1%,1%,2%,3%,1%,1%,1%,2%,2%,0%,3%,4%,1%,3%,3%,1%,2%,2%,1%,0%,1%,0%,2%,2%,1%,1%,1%,1%,0%,0%,2%,1%,2%,2%,1%,1%,0%,0%,1%,3%,1%,0%,0%,3%,1%,2%,3%,0%,3%,0%,0%,0%,2%,2%,1%,2%,0%,0%,2%,0%,2%,2%,0%,,,,,,,,,,
12/1/11,344,2%,1%,1%,2%,3%,1%,3%,1%,1%,0%,2%,2%,3%,2%,2%,2%,4%,2%,2%,2%,3%,1%,2%,3%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,0%,1%,2%,1%,2%,2%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,1%,1%,2%,0%,1%,2%,1%,2%,1%,2%,2%,1%,1%,1%,1%,1%,2%,2%,1%,0%,2%,2%,1%,1%,1%,2%,2%,3%,2%,1%,0%,,,,,,,,,,,
1/1/12,323,3%,1%,2%,2%,2%,2%,1%,1%,2%,2%,1%,1%,2%,1%,2%,1%,1%,1%,2%,2%,2%,2%,2%,0%,1%,1%,2%,2%,1%,1%,2%,1%,1%,3%,3%,2%,1%,0%,1%,1%,1%,2%,2%,1%,0%,1%,1%,2%,1%,1%,1%,1%,1%,2%,1%,0%,2%,2%,2%,0%,1%,1%,2%,1%,2%,0%,1%,1%,2%,2%,2%,2%,0%,2%,1%,2%,1%,0%,1%,2%,,,,,,,,,,,,
2/1/12,411,3%,1%,3%,2%,1%,1%,1%,2%,2%,2%,1%,2%,2%,2%,1%,1%,1%,2%,1%,2%,0%,2%,2%,3%,0%,1%,2%,1%,1%,1%,1%,1%,0%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,2%,1%,2%,1%,2%,1%,0%,1%,1%,0%,1%,1%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%,1%,1%,0%,1%,0%,1%,1%,2%,1%,1%,1%,1%,,,,,,,,,,,,,
3/1/12,440,2%,3%,2%,1%,1%,1%,1%,2%,1%,2%,2%,3%,2%,1%,3%,1%,1%,1%,2%,1%,2%,1%,1%,1%,1%,2%,2%,2%,2%,3%,1%,2%,2%,1%,3%,2%,2%,1%,1%,1%,0%,0%,0%,1%,0%,1%,1%,1%,0%,1%,0%,2%,1%,1%,1%,2%,1%,2%,1%,0%,0%,1%,1%,1%,0%,1%,0%,1%,0%,2%,2%,0%,2%,1%,2%,0%,1%,1%,,,,,,,,,,,,,,
4/1/12,367,4%,3%,2%,2%,2%,2%,1%,2%,2%,2%,2%,3%,1%,2%,2%,1%,2%,2%,1%,1%,2%,2%,2%,1%,2%,2%,2%,1%,3%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,2%,1%,1%,1%,1%,0%,1%,1%,1%,0%,1%,1%,1%,0%,1%,2%,0%,2%,1%,1%,1%,1%,2%,2%,0%,1%,1%,1%,1%,2%,2%,1%,1%,1%,2%,1%,,,,,,,,,,,,,,,
5/1/12,436,4%,2%,2%,1%,1%,0%,2%,3%,1%,2%,2%,1%,2%,1%,1%,2%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,2%,1%,1%,1%,2%,1%,2%,0%,2%,2%,2%,1%,1%,1%,2%,1%,0%,3%,1%,1%,2%,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,0%,1%,1%,0%,0%,1%,0%,1%,1%,2%,2%,1%,2%,0%,0%,,,,,,,,,,,,,,,,
6/1/12,343,5%,1%,2%,2%,3%,3%,1%,1%,1%,2%,2%,2%,4%,2%,1%,1%,1%,2%,2%,1%,2%,2%,2%,3%,3%,3%,1%,1%,1%,1%,1%,2%,2%,3%,1%,3%,1%,1%,1%,2%,4%,1%,2%,2%,1%,1%,1%,2%,1%,1%,3%,2%,2%,3%,1%,1%,2%,2%,0%,1%,2%,0%,1%,0%,2%,1%,3%,0%,1%,2%,1%,1%,3%,3%,1%,,,,,,,,,,,,,,,,,
7/1/12,437,3%,2%,3%,1%,1%,2%,1%,2%,1%,2%,1%,2%,2%,1%,2%,1%,2%,2%,0%,1%,2%,2%,2%,2%,3%,2%,3%,1%,2%,1%,1%,1%,2%,2%,0%,1%,2%,1%,2%,1%,1%,2%,1%,2%,1%,2%,2%,2%,2%,2%,2%,0%,2%,2%,0%,1%,1%,1%,2%,3%,0%,1%,1%,1%,1%,2%,2%,1%,1%,0%,1%,1%,0%,1%,,,,,,,,,,,,,,,,,,
8/1/12,490,4%,1%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,1%,3%,1%,1%,2%,1%,2%,3%,2%,1%,1%,2%,1%,2%,2%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,2%,2%,2%,3%,2%,1%,2%,2%,1%,2%,1%,1%,1%,1%,2%,2%,2%,1%,2%,1%,1%,0%,1%,1%,2%,1%,1%,1%,1%,1%,3%,1%,,,,,,,,,,,,,,,,,,,
9/1/12,451,4%,1%,2%,2%,2%,2%,1%,2%,2%,2%,3%,1%,1%,1%,2%,1%,2%,3%,2%,2%,2%,1%,1%,4%,3%,2%,2%,1%,1%,3%,2%,1%,1%,3%,2%,1%,1%,1%,2%,1%,2%,2%,2%,2%,2%,1%,2%,2%,1%,0%,2%,1%,2%,3%,1%,1%,2%,2%,1%,0%,1%,0%,3%,1%,0%,0%,0%,1%,1%,0%,2%,1%,,,,,,,,,,,,,,,,,,,,
10/1/12,570,4%,2%,3%,2%,2%,1%,2%,1%,2%,2%,1%,3%,1%,2%,1%,2%,1%,2%,2%,2%,2%,2%,1%,1%,2%,1%,2%,2%,1%,2%,2%,1%,1%,1%,2%,1%,1%,1%,1%,2%,2%,1%,2%,2%,1%,2%,1%,2%,0%,1%,2%,2%,2%,1%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,2%,3%,1%,2%,1%,2%,1%,,,,,,,,,,,,,,,,,,,,,
11/1/12,535,4%,2%,2%,2%,1%,3%,2%,2%,2%,1%,3%,2%,2%,2%,1%,1%,1%,2%,2%,2%,2%,2%,1%,2%,3%,1%,2%,1%,2%,2%,2%,2%,1%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,1%,1%,1%,2%,1%,3%,2%,2%,1%,1%,0%,2%,1%,1%,1%,2%,1%,2%,1%,2%,2%,1%,2%,2%,1%,2%,2%,,,,,,,,,,,,,,,,,,,,,,
12/1/12,625,5%,1%,3%,3%,1%,1%,1%,2%,1%,2%,1%,2%,1%,1%,3%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,3%,1%,1%,2%,2%,1%,1%,1%,1%,1%,1%,2%,2%,1%,1%,1%,1%,2%,1%,1%,1%,1%,1%,1%,2%,3%,0%,2%,2%,1%,2%,1%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,
1/1/13,737,2%,2%,2%,1%,2%,3%,1%,2%,1%,3%,4%,2%,1%,1%,2%,1%,1%,1%,3%,1%,1%,2%,3%,3%,1%,2%,2%,1%,0%,1%,2%,2%,2%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,1%,1%,1%,3%,1%,2%,2%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,3%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,,
2/1/13,720,5%,2%,2%,1%,2%,1%,2%,2%,1%,2%,2%,2%,2%,1%,2%,2%,2%,1%,2%,1%,1%,4%,2%,2%,2%,2%,1%,1%,2%,1%,1%,1%,1%,1%,2%,1%,2%,2%,1%,1%,1%,2%,1%,2%,2%,1%,2%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/13,863,4%,2%,2%,2%,1%,2%,2%,1%,2%,2%,1%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,3%,2%,2%,2%,2%,1%,1%,2%,1%,1%,2%,2%,1%,1%,2%,2%,1%,2%,2%,1%,2%,1%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/13,882,5%,1%,2%,2%,1%,1%,1%,2%,2%,1%,2%,2%,2%,2%,1%,2%,1%,1%,1%,3%,1%,2%,2%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,2%,2%,1%,2%,1%,1%,2%,1%,1%,1%,1%,2%,2%,1%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,1%,1%,1%,1%,2%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/13,892,5%,2%,2%,2%,1%,1%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,1%,1%,1%,0%,2%,1%,2%,2%,1%,1%,2%,1%,1%,1%,1%,1%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,1%,2%,1%,1%,2%,1%,2%,2%,2%,1%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/13,822,4%,2%,2%,2%,2%,3%,1%,2%,2%,2%,2%,3%,2%,2%,2%,1%,2%,2%,1%,1%,2%,3%,2%,2%,3%,2%,1%,2%,2%,2%,1%,1%,2%,1%,3%,1%,1%,2%,2%,1%,3%,1%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,2%,2%,1%,2%,2%,1%,2%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/13,764,5%,2%,1%,1%,3%,1%,2%,2%,2%,3%,2%,2%,2%,2%,1%,1%,1%,1%,1%,3%,2%,1%,3%,2%,3%,2%,1%,2%,2%,1%,2%,1%,2%,3%,1%,2%,2%,2%,2%,1%,2%,2%,1%,2%,1%,1%,2%,2%,2%,1%,1%,2%,2%,1%,2%,2%,2%,1%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/13,901,5%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,2%,1%,1%,2%,3%,2%,1%,1%,2%,2%,2%,3%,1%,1%,2%,1%,2%,1%,1%,2%,2%,1%,2%,1%,2%,2%,2%,1%,1%,1%,2%,1%,2%,1%,2%,2%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/13,809,5%,1%,2%,1%,2%,1%,2%,2%,2%,2%,2%,1%,2%,1%,2%,2%,3%,1%,1%,2%,1%,3%,1%,1%,1%,0%,2%,2%,1%,1%,1%,1%,2%,1%,1%,1%,2%,2%,3%,1%,2%,2%,2%,1%,2%,2%,2%,1%,1%,2%,1%,1%,1%,1%,1%,1%,2%,1%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/13,919,3%,2%,2%,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,3%,2%,1%,2%,2%,1%,1%,1%,1%,2%,1%,2%,2%,1%,1%,2%,2%,1%,1%,2%,3%,2%,2%,1%,1%,2%,2%,1%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,1%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/13,746,6%,1%,1%,3%,2%,2%,2%,2%,2%,2%,1%,1%,3%,1%,2%,1%,2%,2%,1%,2%,1%,1%,3%,2%,2%,2%,1%,1%,2%,2%,2%,1%,2%,1%,1%,2%,3%,2%,1%,1%,2%,1%,3%,2%,2%,1%,1%,2%,2%,2%,2%,1%,1%,2%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/13,1294,3%,1%,2%,2%,1%,2%,2%,2%,3%,2%,1%,3%,1%,2%,2%,1%,1%,1%,2%,2%,1%,1%,1%,2%,2%,1%,1%,1%,2%,1%,2%,1%,1%,1%,2%,2%,2%,1%,2%,1%,1%,2%,1%,2%,2%,2%,1%,2%,2%,1%,1%,1%,2%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/14,971,4%,2%,2%,2%,1%,1%,1%,1%,2%,1%,3%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,1%,1%,2%,1%,1%,1%,2%,1%,1%,2%,1%,1%,1%,3%,2%,1%,2%,1%,1%,2%,1%,1%,2%,1%,2%,2%,1%,1%,1%,1%,2%,1%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/14,989,5%,2%,2%,2%,2%,2%,2%,1%,1%,2%,1%,2%,2%,2%,1%,2%,1%,2%,2%,2%,1%,1%,2%,2%,2%,2%,1%,1%,1%,1%,1%,2%,1%,2%,1%,2%,1%,1%,2%,2%,2%,2%,1%,2%,1%,2%,2%,2%,2%,1%,2%,2%,1%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/14,1037,7%,2%,2%,2%,1%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,1%,3%,2%,1%,3%,1%,1%,1%,1%,1%,2%,2%,2%,2%,1%,2%,2%,2%,1%,2%,1%,2%,2%,1%,1%,3%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,2%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/14,1107,4%,2%,1%,2%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,3%,1%,1%,1%,2%,1%,1%,2%,3%,3%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/14,1055,5%,3%,2%,1%,1%,1%,2%,2%,1%,2%,2%,2%,2%,3%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,1%,1%,1%,2%,2%,1%,1%,2%,2%,1%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/14,1063,4%,2%,1%,1%,2%,2%,2%,1%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,2%,1%,2%,1%,1%,2%,2%,2%,2%,1%,0%,2%,2%,1%,2%,2%,2%,2%,1%,2%,2%,1%,1%,2%,1%,1%,1%,2%,2%,2%,3%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/14,1120,5%,2%,2%,1%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,2%,2%,1%,2%,2%,2%,2%,1%,1%,3%,2%,2%,1%,1%,1%,1%,3%,1%,2%,1%,2%,2%,2%,2%,1%,2%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/14,1077,4%,2%,2%,2%,2%,2%,2%,1%,3%,1%,2%,3%,1%,2%,1%,1%,1%,2%,2%,2%,2%,3%,2%,2%,1%,2%,1%,1%,2%,2%,2%,2%,1%,2%,2%,2%,1%,2%,1%,2%,2%,1%,1%,1%,2%,2%,1%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/14,1025,5%,1%,2%,2%,1%,2%,1%,1%,3%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,1%,1%,2%,2%,1%,2%,1%,1%,1%,2%,3%,1%,2%,3%,1%,1%,1%,2%,1%,2%,1%,1%,1%,1%,2%,2%,0%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/14,978,4%,3%,1%,1%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,3%,2%,2%,1%,2%,2%,1%,2%,2%,2%,2%,1%,2%,1%,1%,2%,1%,2%,1%,1%,2%,1%,2%,1%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/14,892,6%,2%,2%,3%,2%,3%,2%,2%,3%,2%,2%,1%,1%,1%,2%,2%,2%,1%,2%,1%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,1%,2%,2%,3%,1%,2%,2%,3%,1%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/14,1474,4%,2%,2%,2%,2%,1%,2%,2%,2%,1%,2%,2%,1%,2%,1%,1%,1%,1%,2%,2%,1%,1%,1%,3%,2%,2%,1%,1%,2%,2%,2%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/15,1155,3%,2%,1%,2%,2%,2%,1%,1%,1%,2%,3%,2%,2%,2%,2%,1%,2%,1%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,3%,2%,1%,2%,1%,1%,1%,1%,2%,1%,2%,2%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/15,1215,5%,2%,2%,1%,2%,1%,1%,1%,2%,1%,2%,2%,1%,2%,1%,2%,1%,2%,1%,1%,2%,2%,2%,1%,2%,2%,2%,1%,2%,2%,2%,1%,2%,2%,2%,2%,2%,1%,2%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/15,1468,4%,1%,2%,2%,1%,1%,2%,1%,1%,2%,2%,2%,2%,2%,2%,2%,1%,1%,1%,1%,1%,2%,2%,1%,2%,2%,1%,2%,2%,1%,2%,2%,2%,2%,2%,1%,1%,2%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15,1262,4%,2%,2%,3%,1%,1%,1%,1%,2%,1%,1%,2%,2%,1%,2%,2%,2%,1%,1%,2%,2%,1%,2%,2%,2%,2%,1%,2%,1%,2%,1%,1%,1%,1%,3%,2%,2%,1%,2%,1%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/15,1231,4%,2%,2%,2%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,1%,2%,2%,2%,1%,1%,2%,1%,2%,1%,2%,1%,1%,2%,1%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/15,1187,4%,2%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,3%,1%,2%,2%,2%,2%,1%,2%,2%,1%,2%,1%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/15,1206,5%,2%,1%,1%,2%,2%,1%,2%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,1%,1%,2%,2%,2%,2%,1%,1%,2%,2%,2%,3%,1%,2%,2%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/15,1340,4%,2%,2%,1%,2%,1%,2%,1%,2%,2%,2%,1%,2%,2%,1%,2%,2%,2%,2%,2%,1%,2%,2%,2%,2%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/15,1206,4%,2%,2%,2%,2%,2%,2%,1%,1%,1%,2%,2%,1%,2%,3%,2%,2%,2%,2%,3%,2%,2%,3%,3%,1%,2%,2%,2%,1%,2%,1%,1%,2%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/15,1145,3%,2%,1%,1%,1%,2%,2%,2%,2%,1%,1%,1%,2%,2%,2%,1%,2%,2%,1%,2%,1%,2%,1%,1%,2%,2%,1%,1%,1%,1%,2%,3%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/15,1088,5%,2%,2%,2%,3%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,1%,3%,2%,2%,1%,2%,2%,1%,2%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/15,1430,4%,2%,2%,2%,2%,2%,1%,2%,1%,1%,2%,3%,3%,1%,1%,2%,1%,1%,2%,1%,1%,2%,2%,3%,1%,1%,1%,2%,2%,2%,2%,1%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
