time_offset,speed,roadvel,bodyacc,yaw_rate
60.451,0,-0.0575,0.0199,0.001
60.461,0,-0.0575,-0.08,0
60.47,0,-0.0575,0.0199,0
60.479,0,-0.0575,0.0199,0.002
60.489,0,-0.0575,-0.0399,0.002
60.498,0,-0.0575,-0.0399,0.002
60.507,0,-0.0575,-0.06,0
60.517,0,-0.0575,0.0199,0.001
60.528,0,-0.0575,0,0.001
60.538,0,-0.0575,0,0.002
60.547,0,-0.0575,0,0.002
60.556,0,-0.0575,0,0.002
60.566,0,-0.0575,0.08,0.003
60.575,0,-0.0575,0,0.002
60.585,0,-0.0575,-0.0199,0.002
60.594,0,-0.0575,-0.0199,0.002
60.603,0,-0.0575,0.04,0.002
60.613,0,-0.0575,0,0.002
60.622,0,-0.0575,-0.0199,0.001
60.631,0,-0.0575,-0.06,0.001
60.641,0,-0.0575,-0.06,0.001
60.65,0,-0.0575,-0.0199,0.003
60.66,0,-0.0575,0,0.003
60.669,0,-0.0575,-0.0399,0.003
60.678,0,-0.0575,-0.0399,0.003
60.688,0,-0.0575,0,0.002
60.697,0,-0.0575,0,0.002
60.707,0,-0.0575,0,0.002
60.716,0,-0.0575,-0.08,0.002
60.727,0,-0.0575,-0.08,0.002
60.737,0,-0.0575,0,0.002
60.746,0,-0.0575,0,0.002
60.755,0,-0.0575,-0.06,0.002
60.765,0,-0.0575,-0.0399,0.001
60.774,0,-0.0575,0.06,0.001
60.784,0,-0.0575,0.08,0.001
60.793,0,-0.0575,0.08,0.001
60.802,0,-0.0575,0,0.002
60.812,0,-0.0575,-0.0399,0.002
60.822,0,-0.0575,0.0199,0.002
60.831,0,-0.0575,0.04,0.002
60.842,0,-0.0575,-0.0399,0.002
60.851,0,-0.0575,-0.0399,0.002
60.861,0,-0.0575,0.0199,0.002
60.87,0,-0.0575,0.08,0.001
60.879,0,-0.0575,-0.06,0.002
60.889,0,-0.0575,-0.08,0.002
60.899,0,-0.0575,0,0.002
60.909,0,-0.0575,0,0.002
60.918,0,-0.0575,0.04,0.002
60.928,0,-0.0575,-0.0199,0.002
60.938,0,-0.0575,-0.0199,0.002
60.947,0,-0.0575,0.04,0.002
60.957,0,-0.0575,0.04,0.002
60.966,0,-0.0575,-0.0199,0.002
60.975,0,-0.0575,-0.0199,0.002
60.985,0,-0.0575,-0.0399,0.002
60.994,0,-0.0575,0,0.001
61.003,0,-0.0575,0,0.001
61.013,0,-0.0575,-0.0199,0.001
61.022,0,-0.0575,-0.06,0.001
61.032,0,-0.0575,0.04,0.001
61.041,0,-0.0575,0.04,0.001
61.05,0,-0.0575,0.06,0.001
61.06,0,-0.0575,0.0199,0.001
61.069,0,-0.0575,-0.08,0.003
61.079,0,-0.0575,0.0199,0.002
61.088,0,-0.0575,-0.0199,0.002
61.097,0,-0.0575,-0.0199,0.002
61.107,0,-0.0575,-0.0399,0.002
61.116,0,-0.0575,-0.0399,0.002
61.127,0,-0.0575,0.04,0.001
61.137,0,-0.0575,0.0199,0.003
61.146,0,-0.0575,-0.0399,0.003
61.156,0,-0.0575,-0.0399,0.003
61.165,0,-0.0575,0,0.001
61.175,0,-0.0575,0.0199,0.001
61.184,0,-0.0575,0.0199,0.001
61.194,0,-0.0575,-0.0199,0.001
61.204,0,-0.0575,-0.0199,0.001
61.214,0,-0.0575,-0.0199,0.001
61.223,0,-0.0575,0.06,0.001
61.233,0,-0.0575,0,0.001
61.242,0,-0.0575,-0.06,0.002
61.251,0,-0.0575,-0.06,0.002
61.261,0,-0.0575,-0.08,0.002
61.27,0,-0.0575,0,0.002
61.28,0,-0.0575,-0.0199,0.001
61.289,0,-0.0575,-0.0399,0.001
61.298,0,-0.0575,0,0
61.307,0,-0.0575,0,0
61.317,0,-0.0575,0,0
61.327,0,-0.0575,0,0
61.336,0,-0.0575,-0.0399,0.001
61.345,0,-0.0575,-0.0399,0.001
61.355,0,-0.0575,0.04,0.001
61.364,0,-0.0575,0.0199,0.003
61.373,0,-0.0575,0.04,0.003
61.383,0,-0.0575,-0.08,0.003
61.392,0,-0.0575,-0.08,0.003
61.402,0,-0.0575,0,0.002
61.411,0,-0.0575,0.0999,0.002
61.421,0,-0.0575,-0.06,0.001
61.43,0,-0.0575,-0.08,0.001
61.44,0,-0.0575,-0.08,0.001
61.449,0,-0.0575,0,0.002
61.459,0,-0.0575,0.0199,0.002
61.468,0,-0.0575,-0.0199,0.001
61.477,0,-0.0575,-0.0199,0.001
61.487,0,-0.0575,0.0999,0
61.496,0,-0.0575,0.0999,0
61.506,0,-0.0575,0,0.002
61.515,0,-0.0575,-0.06,0.002
61.524,0,-0.0575,-0.06,0.002
61.533,0,-0.0575,-0.0999,0.003
61.543,0,-0.0575,-0.0199,0.002
61.552,0,-0.0575,0.06,0.002
61.562,0,-0.0575,-0.08,0.002
61.571,0,-0.0575,-0.08,0.002
61.58,0,-0.0575,-0.08,0.002
61.59,0,-0.0575,0.04,0
61.599,0,-0.0575,0.0199,0.002
61.609,0,-0.0575,-0.06,0.002
61.619,0,-0.0575,0.06,0.002
61.628,0,-0.0575,0.06,0.002
61.638,0,-0.0575,0.14,0.002
61.647,0,-0.0575,0.0199,0.001
61.656,0,-0.0575,-0.0999,0.002
61.666,0,-0.0575,0.06,0.002
61.675,0,-0.0575,0.06,0.002
61.685,0,-0.0575,0.0199,0.001
61.694,0,-0.0575,0.0199,0.001
61.704,0,-0.0575,-0.08,0.001
61.714,0,-0.0575,-0.0399,0.001
61.723,0,-0.0575,-0.0399,0.001
61.732,0,-0.0575,0.0999,0.001
61.742,0,-0.0575,0.04,0.002
61.751,0,-0.0575,-0.08,0.002
61.761,0,-0.0575,0.0199,0.001
61.77,0,-0.0575,0.0199,0.001
61.779,0,-0.0575,0.06,0.001
61.789,0,-0.0575,0.0199,0.001
61.798,0,-0.0575,-0.08,0.001
61.807,0,-0.0575,-0.08,0.001
61.818,0,-0.0575,0.06,0.001
61.828,0,-0.0575,0.06,0.001
61.838,0,-0.0575,0,0.001
61.847,0,-0.0575,-0.08,0
61.856,0,-0.0575,-0.0199,0
61.866,0,-0.0575,0.08,0
61.875,0,-0.0575,0.08,0
61.885,0,-0.0575,-0.1199,0.001
61.894,0,-0.0575,-0.1199,0.001
61.903,0,-0.0575,-0.0199,0.004
61.913,0,-0.0575,0.06,0.004
61.923,0,-0.0575,0.06,0.004
61.932,0,-0.0575,0,0.002
61.941,0,-0.0575,-0.08,0.002
61.95,0,-0.0575,-0.0399,0.002
61.96,0,-0.0575,0.04,0.003
61.969,0,-0.0575,0.04,0.003
61.978,0,-0.0575,-0.0199,0.003
61.988,0,-0.0575,-0.0399,0.001
61.997,0,-0.0575,0,0.001
62.006,0,-0.0575,0.08,0.002
62.016,0,-0.0575,0.08,0.002
62.026,0,-0.0575,-0.08,0
62.036,0,-0.0575,-0.06,0
62.045,0,-0.0575,0.0199,0.003
62.055,0,-0.0575,0.06,0.003
62.064,0,-0.0575,0.06,0.003
62.073,0,-0.0575,-0.06,0
62.083,0,-0.0575,-0.06,0.002
62.092,0,-0.0575,0.08,0.002
62.102,0,-0.0575,0.06,0.001
62.111,0,-0.0575,0.06,0.001
62.121,0,-0.0575,-0.06,0.001
62.13,0,-0.0575,-0.08,0.001
62.14,0,-0.0575,-0.0199,0.002
62.149,0,-0.0575,0.06,0.002
62.158,0,-0.0575,-0.08,0.001
62.168,0,-0.0575,-0.08,0.001
62.177,0,-0.0575,-0.1199,0.001
62.187,0,-0.0575,0.0199,0.001
62.196,0,-0.0575,0.0999,0.001
62.205,0,-0.0575,0.0199,0
62.215,0,-0.0575,0.0199,0
62.225,0,-0.0575,-0.0399,0.002
62.234,0,-0.0575,0.0199,0.002
62.244,0,-0.0575,0,0.002
62.253,0,-0.0575,-0.08,0.002
62.263,0,-0.0575,-0.08,0.002
62.272,0,-0.0575,0,0.003
62.281,0,-0.0575,0.06,0.002
62.291,0,-0.0575,0.06,0.002
62.3,0,-0.0575,0,0.001
62.309,0,-0.0575,0,0.001
62.319,0,-0.0575,-0.0199,0.001
62.328,0,-0.0575,0.08,0.002
62.338,0,-0.0575,0.0999,0.002
62.347,0,-0.0575,-0.0199,0.001
62.357,0,-0.0575,-0.0399,0.001
62.367,0,-0.0575,-0.0399,0.001
62.376,0,-0.0575,0.0199,0.001
62.386,0,-0.0575,0.08,0.001
62.395,0,-0.0575,-0.08,0.001
62.405,0,-0.0575,-0.14,0.002
62.415,0,-0.0575,-0.14,0.002
62.425,0,-0.0575,0.04,0.001
62.434,0,-0.0575,-0.0399,0.001
62.443,0,-0.0575,-0.06,0
62.452,0,-0.0575,-0.08,0
62.462,0,-0.0575,-0.08,0
62.471,0,-0.0575,0.0199,0.001
62.48,0,-0.0575,-0.06,0.001
62.49,0,-0.0575,-0.1199,0.001
62.499,0,-0.0575,-0.06,0.003
62.509,0,-0.0575,-0.06,0.003
62.519,0,-0.0575,0.06,0.003
62.528,0,-0.0575,0.0199,0.003
62.537,0,-0.0575,-0.06,0.004
62.547,0,-0.0575,-0.14,0.004
62.556,0,-0.0575,-0.14,0.004
62.566,0,-0.0575,0.06,0.003
62.575,0,-0.0575,-0.06,0.003
62.584,0,-0.0575,-0.0399,0.002
62.594,0,-0.0575,-0.0199,0.002
62.603,0,-0.0575,-0.0199,0.002
62.613,0,-0.0575,0.08,0.003
62.622,0,-0.0575,-0.0399,0.004
62.631,0,-0.0575,-0.06,0.004
62.641,0,-0.0575,0,0.003
62.65,0,-0.0575,0,0.003
62.659,0,-0.0575,0.14,0.003
62.669,0,-0.0575,0.04,0.002
62.678,0,-0.0575,-0.08,0.001
62.688,0,-0.0575,-0.08,0.001
62.697,0,-0.0575,0.0999,0.003
62.706,0,-0.0575,0.0999,0.003
62.716,0,-0.0575,-0.0999,0.003
62.726,0,-0.0575,-0.16,0.001
62.736,0,-0.0575,-0.08,0.001
62.745,0,-0.0575,0.06,0.002
62.755,0,-0.0575,0.06,0.002
62.765,0,-0.0575,-0.14,0.001
62.774,0,-0.0575,-0.0999,0.001
62.784,0,-0.0575,-0.0199,0.002
62.793,0,-0.0575,0.04,0.002
62.802,0,-0.0575,0.04,0.002
62.811,0,-0.0575,-0.0399,0.002
62.822,0,-0.0575,-0.0399,0.002
62.831,0,-0.0575,0.0199,0.002
62.841,0,-0.0575,0.08,0.002
62.85,0,-0.0575,0,0.002
62.86,0,-0.0575,0,0.002
62.869,0,-0.0575,-0.1199,0.002
62.878,0,-0.0575,-0.06,0.002
62.888,0,-0.0575,0.06,0.002
62.897,0,-0.0575,-0.08,0.001
62.906,0,-0.0575,-0.08,0.001
62.916,0,-0.0575,-0.0399,0.001
62.927,0,-0.0575,0.0199,0.002
62.936,0,-0.0575,0.0999,0.002
62.945,0,-0.0575,0.0199,0
62.955,0,-0.0575,0.0199,0
62.964,0,-0.0575,0.0199,0.003
62.973,0,-0.0575,0.08,0.003
62.983,0,-0.0575,0.0999,0.002
62.992,0,-0.0575,0,0.002
63.001,0,-0.0575,0,0.002
63.011,0,-0.0575,-0.1199,0
63.021,0,-0.0575,0.12,0.001
63.03,0,-0.0575,0.08,0.001
63.04,0,-0.0575,0.06,0.002
63.05,0,-0.0575,-0.06,0.002
63.059,0,-0.0575,-0.06,0.002
63.068,0,-0.0575,0.0199,0.001
63.077,0,-0.0575,0.04,0.001
63.087,0,-0.0575,0.04,0.001
63.097,0,-0.0575,-0.0999,0.002
63.107,0,-0.0575,-0.0999,0.002
63.116,0,-0.0575,0.0199,0.002
63.125,0,-0.0575,0.08,0.002
63.136,0,-0.0575,-0.0399,0.002
63.145,0,-0.0575,-0.0999,0.002
63.154,0,-0.0575,-0.0999,0.002
63.164,0,-0.0575,0.0999,0.002
63.173,0,-0.0575,-0.0199,0.002
63.183,0,-0.0575,-0.08,0.002
63.193,0,-0.0575,-0.08,0.002
63.202,0,-0.0575,-0.08,0.002
63.212,0,-0.0575,-0.06,0
63.222,0,-0.0575,0.04,0.002
63.231,0,-0.0575,-0.0399,0.002
63.241,0,-0.0575,-0.1199,0.004
63.25,0,-0.0575,-0.06,0.004
63.26,0,-0.0575,-0.06,0.004
63.269,0,-0.0575,0.12,0.001
63.278,0,-0.0575,-0.0199,0.003
63.288,0,-0.0575,-0.06,0.003
63.297,0,-0.0575,0.0199,0.002
63.306,0,-0.0575,0.0199,0.002
63.316,0,-0.0575,0.04,0.002
63.325,0,-0.0575,-0.06,0.002
63.334,0,-0.0575,-0.2599,0.002
63.344,0,-0.0575,-0.2599,0.002
63.353,0,-0.0575,-0.14,0.003
63.363,0,-0.0575,-0.0399,0
63.372,0,-0.0575,-0.0199,0
63.382,0,-0.0575,-0.08,0.001
63.391,0,-0.0575,-0.08,0.001
63.4,0,-0.0575,-0.0999,0.001
63.41,0,-0.0575,0.0199,0
63.419,0,-0.0575,-0.0399,0
63.428,0,-0.0575,-0.16,0
63.439,0,-0.0575,-0.06,0
63.448,0,-0.0575,-0.06,0
63.458,0,-0.0575,0.14,0
63.467,0,-0.0575,-0.0199,0
63.476,0,-0.0575,-0.06,0.001
63.486,0,-0.0575,-0.06,0.001
63.495,0,-0.0575,-0.06,0.001
63.504,0,-0.0575,0.0999,0.001
63.514,0,-0.0575,0.04,0.001
63.523,0,-0.0575,0.04,0.001
63.532,0,-0.0575,-0.0399,0.001
63.541,0,-0.0575,-0.0199,0.001
63.55,0,-0.0575,0.08,0.003
63.559,0,-0.0575,0,0.003
63.569,0,-0.0575,-0.06,0.003
63.578,0,-0.0575,-0.06,0.003
63.588,0,-0.0575,-0.06,0.001
63.597,0,-0.0575,0.08,0.001
63.606,0,-0.0575,0.06,0.001
63.617,0,-0.0575,-0.1199,0.004
63.627,0,-0.0575,-0.1199,0.004
63.637,0,-0.0575,0.04,0.004
63.646,0,-0.0575,0.0999,0.002
63.655,0,-0.0575,0,0.002
63.665,0,-0.0575,-0.08,0.001
63.674,0,-0.0575,-0.08,0.001
63.685,0,-0.0575,0.04,0
63.694,0,-0.0575,0.04,0
63.703,0,-0.0575,0.0999,0
63.713,0,-0.0575,-0.06,0
63.723,0,-0.0575,0,0
63.732,0,-0.0575,0.08,0
63.742,0,-0.0575,0.08,0
63.751,0,-0.0575,0.06,-0.002
63.761,0,-0.0575,-0.06,0
63.77,0,-0.0575,0.08,0
63.779,0,-0.0575,0.08,0
63.789,0,-0.0575,0.12,0
63.798,0,-0.0575,0.04,0
63.808,0,-0.0575,-0.0999,-0.001
63.817,0,-0.0575,-0.0399,0
63.826,0,-0.0575,0.08,0
63.836,0,-0.0575,-0.06,0
63.845,0,-0.0575,-0.06,0
63.855,0,-0.0575,-0.06,0
63.864,0,-0.0575,0,0
63.874,0,-0.0575,0,0
63.883,0,-0.0575,0.08,0
63.892,0,-0.0575,0,0
63.902,0,-0.0575,-0.0999,0
63.911,0,-0.0575,-0.0199,0
63.92,0,-0.0575,-0.0199,0
63.929,0,-0.0575,0.04,0
63.939,0,-0.0575,-0.08,0
63.948,0,-0.0575,-0.14,0
63.958,0,-0.0575,-0.0399,-0.002
63.967,0,-0.0575,-0.0399,-0.002
63.976,0,-0.0575,0,-0.002
63.986,0,-0.0575,-0.08,0
63.995,0,-0.0575,-0.08,0
64.004,0,-0.0575,0,-0.001
64.013,0,-0.0575,0,-0.001
64.023,0,-0.0575,0.08,-0.002
64.032,0,-0.0575,-0.1199,-0.002
64.042,0,-0.0575,-0.0999,0
64.051,0,-0.0575,0.06,0
64.061,0,-0.0575,0.06,0
64.07,0,-0.0575,0.0199,-0.003
64.079,0,-0.0575,-0.0999,-0.001
64.089,0,-0.0575,-0.1199,-0.001
64.098,0,-0.0575,-0.0199,-0.002
64.108,0,-0.0575,-0.0199,-0.002
64.118,0,-0.0575,-0.0199,-0.002
64.127,0,-0.0575,-0.14,0
64.137,0,-0.0575,-0.0999,0
64.146,0,-0.0575,0.08,0.002
64.155,0,-0.0575,0.08,0.003
64.165,0,-0.0575,0.08,0.003
64.174,0,-0.0575,-0.14,0.003
64.184,0,-0.0575,0,0.005
64.193,0,-0.0575,0.14,0.005
64.203,0,-0.0575,0.14,0.003
64.213,0,-0.0575,0.04,0.003
64.223,0,-0.0575,-0.08,0.005
64.233,0,-0.0575,0.08,0.005
64.242,0,-0.0575,0.12,0.006
64.251,0,-0.0575,0.0199,0.006
64.261,0,-0.0575,0.0199,0.006
64.27,0,-0.0575,-0.0999,0.003
64.28,0,-0.0575,0.04,0.003
64.289,0,-0.0575,0.12,0.003
64.298,0,-0.0575,0.0999,0.002
64.308,0,-0.0575,0.0199,0.002
64.317,0,-0.0575,0.0199,0.002
64.326,0,-0.0575,0.04,0.002
64.336,0,-0.0575,0.14,0.002
64.345,0,-0.0575,0.0999,0
64.355,0,-0.0575,-0.0199,-0.001
64.365,0,-0.0575,-0.0199,-0.001
64.374,0,-0.0575,0.06,-0.001
64.384,0,-0.0575,0.14,-0.002
64.393,0,-0.0575,0.04,-0.002
64.403,0,-0.0575,-0.0399,-0.002
64.414,0,-0.0575,-0.0399,-0.002
64.423,0,-0.0575,0,-0.004
64.433,0,-0.0575,0.0999,-0.004
64.442,0,-0.0575,-0.0199,-0.002
64.451,0,-0.0575,-0.0399,-0.002
64.461,0,-0.0575,-0.0399,-0.002
64.47,0,-0.0575,0.0199,-0.002
64.479,0,-0.0575,0.14,-0.001
64.489,0,-0.0575,-0.0199,-0.001
64.498,0,-0.0575,-0.0999,0
64.508,0,-0.0575,0.04,0
64.517,0,-0.0575,0.04,0
64.527,0,-0.0575,0.12,0
64.537,0,-0.0575,-0.0999,0
64.546,0,-0.0575,-0.16,0.002
64.555,0,-0.0575,0.08,0.002
64.565,0,-0.0575,0.08,0.002
64.574,0,-0.0575,0.0199,0.002
64.583,0,-0.0575,-0.0999,0.004
64.593,0,-0.0575,-0.14,0.004
64.602,0,-0.0575,-0.0399,0.006
64.612,0,-0.0575,-0.0399,0.006
64.622,0,-0.0575,0.06,0.008
64.631,0,-0.0575,-0.14,0.008
64.64,0,-0.0575,-0.14,0.008
64.649,0,-0.0575,0.04,0.008
64.659,0,-0.0575,0.04,0.008
64.668,0,-0.0575,0.04,0.01
64.677,0,-0.0575,-0.14,0.01
64.687,0,-0.0575,-0.14,0.01
64.696,0,-0.0575,-0.14,0.011
64.706,0,-0.0575,-0.14,0.011
64.715,0,-0.0575,-0.0399,0.011
64.725,0,-0.0575,-0.14,0.012
64.735,0,-0.0575,-0.08,0.012
64.744,0,-0.0575,-0.0399,0.014
64.754,0,-0.0575,-0.0399,0.014
64.763,0,-0.0575,0.06,0.012
64.772,0,-0.0575,-0.1199,0.012
64.782,0,-0.0575,-0.1199,0.013
64.791,0,-0.0575,0,0.013
64.8,0,-0.0575,0.0199,0.012
64.81,0,-0.0575,0.0199,0.012
64.82,0,-0.0575,-0.08,0.012
64.829,0,-0.0575,-0.0399,0.012
64.839,0,-0.0575,0.04,0.013
64.848,0,-0.0575,0.12,0.013
64.858,0,-0.0575,0.12,0.013
64.867,0,-0.0575,0.0199,0.012
64.876,0,-0.0575,-0.08,0.012
64.886,0,-0.0575,0.04,0.012
64.895,0,-0.0575,0.08,0.011
64.904,0,-0.0575,0.08,0.011
64.914,0,-0.0575,0,0.011
64.924,0,-0.0575,-0.0399,0.013
64.934,0,-0.0575,0.0199,0.013
64.943,0,-0.0575,0.14,0.012
64.952,0,-0.0575,0.14,0.012
64.962,0,-0.0575,0.08,0.014
64.971,0,-0.0575,0.0199,0.014
64.98,0,-0.0575,0.14,0.014
64.99,0,-0.0575,0,0.014
64.999,0,-0.0575,0,0.014
65.009,0,-0.0575,-0.08,0.017
65.019,0,-0.0575,-0.1199,0.017
65.028,0,-0.0575,0.12,0.017
65.038,0.18,-0.0575,0.0999,0.019
65.047,0.18,-0.0575,-0.06,0.019
65.056,0.18,-0.0575,-0.06,0.019
65.066,0.28,-0.0575,-0.14,0.022
65.075,0.28,-0.0575,-0.0399,0.028
65.084,0.28,-0.0575,0.08,0.028
65.095,0.39,0.016,-0.0199,0.033
65.104,0.39,0.016,-0.0199,0.033
65.115,0.39,0.016,-0.1199,0.033
65.124,0.39,0.016,-0.0399,0.038
65.134,0.39,0.016,0,0.038
65.143,0.39,0.016,-0.16,0.043
65.153,0.39,0.016,-0.16,0.043
65.162,0.46,0.016,-0.2599,0.048
65.171,0.46,0.016,-0.14,0.048
65.181,0.46,0.016,-0.08,0.052
65.19,0.46,0.016,-0.16,0.052
65.199,0.46,0.016,-0.16,0.052
65.209,0.57,0.016,-0.16,0.056
65.219,0.57,0.016,-0.1799,0.057
65.228,0.57,0.016,0.04,0.057
65.238,0.68,0.016,-0.1199,0.058
65.247,0.68,0.016,-0.1199,0.058
65.256,0.68,0.016,-0.0999,0.058
65.266,0.68,0.016,-0.0399,0.059
65.275,0.79,0.016,0.08,0.061
65.285,0.79,0.016,0,0.061
65.294,0.79,0.016,-0.0999,0.061
65.303,0.79,0.016,-0.0999,0.057
65.312,0.79,0.016,-0.0399,0.057
65.322,0.89,0.016,0.0999,0.057
65.331,0.89,0.016,-0.06,0.057
65.341,0.89,0.016,-0.06,0.057
65.35,0.89,0.016,-0.08,0.054
65.36,0.97,0.016,-0.06,0.054
65.369,0.97,0.016,0,0.054
65.378,0.97,0.016,0,0.054
65.388,0.97,0.016,-0.14,0.055
65.397,0.97,0.016,-0.14,0.055
65.407,0.97,0.016,-0.08,0.057
65.416,0.97,0.016,0.06,0.058
65.426,0.97,0.016,-0.0399,0.058
65.436,1.07,0.016,-0.06,0.063
65.445,1.07,0.016,-0.06,0.063
65.454,1.07,0.016,0,0.063
65.464,1.07,0.016,0.12,0.067
65.474,1.07,0.016,0.06,0.068
65.484,1.07,0.016,0.0199,0.068
65.493,1.07,0.016,0.0199,0.068
65.502,1.18,0.016,0.0199,0.073
65.513,1.18,0.016,0.16,0.073
65.522,1.18,0.016,0.08,0.076
65.532,1.18,0.016,0.0199,0.076
65.541,1.18,0.016,0.0199,0.076
65.551,1.18,0.032,-0.0199,0.078
65.561,1.29,0.032,0.12,0.079
65.57,1.29,0.032,0.04,0.079
65.579,1.29,0.032,-0.0399,0.076
65.589,1.29,0.032,0.04,0.076
65.598,1.29,0.032,0.04,0.076
65.607,1.29,0.032,0.12,0.077
65.616,1.29,0.032,0.06,0.074
65.626,1.29,0.032,-0.0399,0.074
65.636,1.29,0.032,0.04,0.07
65.645,1.29,0.032,0.04,0.07
65.655,1.29,0.032,0.14,0.07
65.664,1.29,0.032,-0.0199,0.07
65.674,1.29,0.032,-0.08,0.07
65.684,1.29,0.032,-0.0999,0.07
65.694,1.29,0.032,0.04,0.068
65.703,1.29,0.032,0.04,0.068
65.713,1.29,0.032,-0.14,0.068
65.723,1.4,0.032,-0.22,0.066
65.732,1.4,0.032,-0.0999,0.066
65.742,1.4,0.032,-0.0399,0.067
65.751,1.4,0.032,-0.0399,0.067
65.76,1.4,0.032,-0.0399,0.069
65.77,1.4,0.032,-0.22,0.069
65.779,1.4,0.032,-0.06,0.07
65.789,1.4,0.032,0.14,0.07
65.798,1.4,0.032,-0.06,0.071
65.807,1.4,0.032,-0.06,0.071
65.817,1.4,0.032,-0.1199,0.071
65.827,1.4,0.032,0.08,0.072
65.837,1.4,0.032,0.08,0.073
65.847,1.4,0.032,-0.0399,0.073
65.856,1.4,0.032,-0.0399,0.073
65.866,1.4,0.032,-0.0999,0.074
65.875,1.4,0.032,0.0199,0.075
65.885,1.4,0.032,0.12,0.075
65.894,1.4,0.032,0.06,0.074
65.903,1.4,0.032,0.06,0.074
65.913,1.4,0.032,-0.0999,0.074
65.923,1.29,0.032,0.08,0.075
65.933,1.29,0.032,0.08,0.075
65.943,1.29,0.032,-0.0199,0.073
65.952,1.29,0.032,-0.08,0.071
65.962,1.29,0.032,-0.08,0.071
65.971,1.29,0.032,0.16,0.071
65.98,1.29,0.032,0.08,0.072
65.99,1.29,0.032,-0.0199,0.072
65.999,1.29,0.032,0.0199,0.071
66.009,1.29,0.032,0.0199,0.071
66.018,1.29,0.032,0.22,0.069
66.028,1.29,0.032,-0.0199,0.069
66.038,1.29,0.032,-0.0399,0.071
66.047,1.29,0.032,0.06,0.071
66.056,1.29,0.032,0.06,0.071
66.066,1.29,0.032,0.1799,0.072
66.075,1.29,0.032,0,0.072
66.084,1.29,0.048,-0.1199,0.073
66.094,1.29,0.048,-0.1199,0.073
66.103,1.29,0.048,-0.1199,0.073
66.113,1.29,0.048,0.08,0.073
66.123,1.29,0.048,-0.08,0.073
66.133,1.29,0.048,-0.08,0.073
66.142,1.29,0.048,0.04,0.076
66.151,1.29,0.048,0.04,0.076
66.161,1.29,0.048,0.08,0.076
66.17,1.29,0.048,-0.08,0.076
66.179,1.29,0.048,-0.0399,0.077
66.189,1.29,0.048,0.12,0.077
66.198,1.29,0.048,0.14,0.077
66.208,1.29,0.048,0.14,0.077
66.217,1.29,0.048,-0.0399,0.077
66.227,1.4,0.048,0.08,0.078
66.236,1.4,0.048,0.08,0.08
66.246,1.4,0.048,0.04,0.08
66.256,1.4,0.048,0.04,0.08
66.266,1.4,0.048,-0.06,0.076
66.275,1.4,0.048,-0.06,0.078
66.284,1.4,0.048,0.14,0.078
66.294,1.4,0.048,0.0999,0.078
66.303,1.4,0.048,0.0999,0.078
66.313,1.4,0.048,-0.14,0.078
66.323,1.4,0.048,0,0.077
66.332,1.4,0.048,0.04,0.077
66.342,1.4,0.048,0.0199,0.077
66.351,1.4,0.048,0.0199,0.077
66.36,1.4,0.064,-0.06,0.079
66.37,1.4,0.064,0.0999,0.079
