treatment,company_size,campaign_spend,campaign_budget
FALSE,small,4.6687,3.9035
FALSE,small,91.3204,113.3367
FALSE,small,10.4732,7.2744
FALSE,small,15.5554,8.0423
FALSE,large,253.6731,239.5461
FALSE,large,579.3064,993.2942
FALSE,small,10.8874,6.2497
FALSE,large,141.8042,127.6775
FALSE,small,21.6149,18.7009
FALSE,large,82.4141,115.2095
FALSE,small,78.3931,77.3444
FALSE,large,3271.5454,3189.2685
FALSE,small,150.8224,162.9017
FALSE,large,21.1277,18.9401
FALSE,large,740.4198,738.4236
FALSE,large,68.5148,104.8176
FALSE,large,4325.4184,4151.2909
FALSE,large,132.1214,130.2214
FALSE,small,834.4494,1134.5475
FALSE,medium,38.0902,37.2456
FALSE,large,101.1196,182.5046
FALSE,large,240.6211,228.7868
FALSE,medium,8.8492,7.9869
FALSE,small,180.97,254.4953
FALSE,large,90.2984,78.8653
FALSE,small,27.291,24.808
FALSE,small,2367.0841,2329.0809
FALSE,large,202.6777,174.5017
FALSE,small,38.7073,38.5142
FALSE,small,16.7326,9.0782
FALSE,large,71131.7477,69797.7033
FALSE,large,46.841,19.1568
FALSE,large,638.9303,1105.82
FALSE,small,34.9582,32.7172
FALSE,small,123.6403,123.5912
FALSE,small,18.2115,12.5156
FALSE,medium,66.0547,65.1778
FALSE,small,20.4776,16.6051
FALSE,small,14.7052,6.0393
FALSE,small,5.5714,10.9573
FALSE,small,25.4846,24.9241
FALSE,large,48.6089,47.5052
FALSE,small,29.2579,21.653
FALSE,small,4801.509,3456.8485
FALSE,small,30.5162,24.8916
FALSE,small,66.5941,73.369
FALSE,small,5520.3627,5091.7832
FALSE,medium,28.3731,27.8085
FALSE,large,41.165,29.5075
FALSE,large,113.6449,108.7345
FALSE,large,550.2286,820.6624
FALSE,small,11.1793,10.7564
FALSE,large,1.0863,0.7947
FALSE,large,958.3117,924.443
FALSE,small,15195.8746,13219.1705
FALSE,small,12.7388,8.6445
FALSE,small,2.1292,1.5262
FALSE,small,125.958,124.3936
FALSE,small,10808.8711,10751.6862
FALSE,small,22.6227,18.4187
FALSE,large,53.1707,49.5011
FALSE,small,6.7595,6.2218
FALSE,small,12.7717,6.8942
FALSE,small,11.8894,8.463
FALSE,large,344.0935,284.6852
FALSE,large,1818.268,1717.7572
FALSE,small,8.4588,1.6918
FALSE,small,6.5217,4.7524
FALSE,small,15.1437,4.7562
FALSE,small,2402.4221,2332.4455
FALSE,small,50.0032,47.7763
FALSE,small,83.7301,81.5962
FALSE,small,6.5145,3.4231
FALSE,small,21.5578,17.5034
FALSE,small,25.6716,25.5127
FALSE,large,47.3246,47.2796
FALSE,medium,44.0474,35.9236
FALSE,small,8.237,7.5822
FALSE,small,13.8121,13.6528
FALSE,medium,49.5639,49.2719
FALSE,large,130.2099,88.2089
FALSE,large,51.0501,42.8603
FALSE,large,75.582,142.7599
FALSE,large,35.1764,61.414
FALSE,large,47.4815,43.4285
FALSE,small,113.1238,202.4702
FALSE,large,297.5215,563.8116
FALSE,small,6297.9501,6213.0822
FALSE,large,36.4912,36.208
FALSE,small,1356.2759,921.9715
FALSE,medium,256.0778,255.6065
FALSE,small,3.2338,2.2543
FALSE,small,7.1042,6.3464
FALSE,small,17.0076,14.9122
FALSE,medium,2.9531,2.3198
FALSE,small,3.9641,3.1989
FALSE,small,8464.6469,15600.1051
FALSE,small,3.1893,1.1795
FALSE,medium,7.4889,3.1554
FALSE,small,13.1295,10.2025
FALSE,small,2.8799,1.6413
FALSE,large,92.1241,152.7571
FALSE,small,2400.7691,1120.7345
FALSE,small,3146.2128,2825.1149
FALSE,medium,246.996,238.089
FALSE,large,531.0492,518.1975
FALSE,small,17.9143,12.5961
FALSE,medium,41.0263,34.1189
FALSE,large,384.2593,356.3607
FALSE,small,13.8497,7.9073
FALSE,small,20.9532,16.623
FALSE,small,2016.2489,403.2498
FALSE,medium,101.7852,100.0157
FALSE,small,1.6733,0.4486
FALSE,large,37.4557,37.4557
FALSE,large,48.8951,43.0649
FALSE,large,105.3443,107.0475
FALSE,small,3.4044,1.2015
FALSE,small,11.7289,2.3458
FALSE,large,24.2831,22.3575
FALSE,large,2.06,1.805
FALSE,small,26.4815,26.1184
FALSE,large,293.0249,566.4739
FALSE,large,202.7286,340.5392
FALSE,large,8.6088,6.8937
FALSE,small,27768.8139,26837.935
FALSE,large,55746.4817,48475.7923
FALSE,medium,8982.628,9650.4039
FALSE,medium,215209.8245,184348.8959
FALSE,large,467.6474,446.8928
FALSE,small,551.8166,409.6958
FALSE,large,749.3466,961.1903
FALSE,small,8400.6628,8386.5157
FALSE,large,111.7074,104.122
FALSE,large,68.0362,88.4969
FALSE,small,1078527.993,1369143.854
FALSE,large,15602.2996,21152.818
FALSE,small,10.5511,3.67
FALSE,small,6.1126,4.9486
FALSE,medium,250.1592,241.8179
FALSE,small,19.3975,15.3004
FALSE,small,245818.5637,235469.2403
FALSE,large,637.7704,618.1594
FALSE,small,3116.5259,2820.0781
FALSE,large,570.4467,568.5018
FALSE,large,8984.2186,12491.4888
FALSE,large,36.082,12.3351
FALSE,large,540.5192,1027.2132
FALSE,small,35.1925,49.2607
FALSE,large,50.1544,93.9516
FALSE,large,184.3413,178.7775
FALSE,large,91.9783,114.432
FALSE,small,100.801,100.1492
FALSE,large,20.4691,5.9836
FALSE,large,281.4413,271.6611
FALSE,small,20.2607,18.029
FALSE,small,9.5845,8.6059
FALSE,large,10.2135,10.0058
FALSE,small,19479.2612,19369.2236
FALSE,small,100.0619,135.3219
FALSE,small,4800.8198,4749.0102
FALSE,large,299.031,401.4629
FALSE,large,25.9475,15.6021
FALSE,small,34.6838,34.2581
FALSE,medium,197.52,195.7502
FALSE,large,101.9205,101.2778
FALSE,small,1200.283,240.0566
FALSE,large,46.9956,72.7835
FALSE,large,338.8793,338.1208
FALSE,large,143.8602,136.2443
FALSE,small,4.7663,3.8608
FALSE,large,169.7787,166.3522
FALSE,small,70.3634,66.9205
FALSE,small,10.1941,9.3729
FALSE,large,201.6594,316.8834
FALSE,small,35.8922,35.3476
FALSE,large,253.5429,251.3963
FALSE,small,51.4824,42.3075
FALSE,large,72.1201,112.4008
FALSE,large,200.825,199.5346
FALSE,large,44642.1525,37526.3217
FALSE,small,12.3425,11.887
FALSE,large,11031.3736,18234.6911
FALSE,large,5001.1513,4856.6043
FALSE,large,151.8098,262.3999
FALSE,small,24.0795,20.8847
FALSE,small,5.2864,3.4955
FALSE,small,3000.1988,2882.7856
FALSE,small,13.8094,5.9934
FALSE,small,102.6164,91.2706
FALSE,small,39.27,29.1077
FALSE,small,216.9153,321.696
FALSE,small,325.6834,325.5045
FALSE,small,11.7705,9.4007
FALSE,medium,4.5159,4.0368
FALSE,small,22.3418,14.6973
FALSE,small,80.0508,79.2249
FALSE,small,58.6696,57.3396
FALSE,small,7393.0751,9834.0323
FALSE,small,10.1987,9.2792
FALSE,large,134.966,133.5659
FALSE,large,18942.9996,11190.0045
FALSE,small,26.8566,17.7544
FALSE,medium,25.7329,21.5985
FALSE,large,58.6491,48.4282
FALSE,large,10.1576,13.9633
FALSE,large,146.617,133.0818
FALSE,medium,18.3893,16.9378
FALSE,medium,131.4608,130.3991
FALSE,small,22.06,18.1817
FALSE,small,7201.784,6944.1818
FALSE,medium,3.463,2.4894
FALSE,small,179.7731,190.7666
FALSE,large,30.9185,28.9366
FALSE,small,2648.1083,1770.2327
FALSE,large,147.449,126.4484
FALSE,small,13.0127,2.6025
FALSE,large,10.0332,9.5409
FALSE,large,255.4689,350.0638
FALSE,small,27.922,27.4232
FALSE,large,90.9289,127.8824
FALSE,small,44.1518,33.5628
FALSE,small,483.4302,208.3864
FALSE,large,7307.1292,6883.0382
FALSE,small,53.0128,76.1075
FALSE,small,11.6572,8.2898
FALSE,large,1001.0928,998.2716
FALSE,medium,182.9582,175.6531
FALSE,small,7201.7249,7037.0691
FALSE,small,10.528,9.3567
FALSE,medium,5.3275,4.3973
FALSE,large,45.4058,43.5942
FALSE,small,3312.1503,3162.1139
FALSE,small,24.7628,16.6218
FALSE,large,90.2264,152.8976
FALSE,medium,1000.3187,1861.6027
FALSE,large,539.944,1074.2426
FALSE,small,48.8567,20.9365
FALSE,large,149.4085,257.9217
FALSE,small,32.4076,31.6703
FALSE,large,25.4254,13.9547
FALSE,small,20.2784,25.4862
FALSE,large,172.1038,155.7286
FALSE,small,5.409,2.6865
FALSE,small,20.8445,15.8085
FALSE,large,379.6159,375.9502
FALSE,small,61.37,60.7835
FALSE,small,100.6475,98.7639
FALSE,medium,215209.7055,386566.4897
FALSE,small,13919.8693,13562.6265
FALSE,medium,52.3186,52.0112
FALSE,small,10784.3071,9662.9176
FALSE,small,33.2612,24.7009
FALSE,large,33.3497,33.3054
FALSE,small,66.0603,57.5703
FALSE,large,250.2312,238.5865
FALSE,small,8.0395,4.8716
FALSE,small,3.7355,2.945
FALSE,small,49.9177,49.6177
FALSE,large,266.1102,260.6647
FALSE,large,1000.4342,944.4003
FALSE,small,94.3823,105.1418
FALSE,small,59.4331,58.9508
FALSE,large,14.5258,7.6531
FALSE,large,62.2052,60.6474
FALSE,small,1820.0743,1380.565
FALSE,small,22.6241,38.0578
FALSE,large,91.5757,74.0827
FALSE,large,12000.0259,8436.0747
FALSE,medium,30.5805,26.7839
FALSE,small,7394.7816,13266.7225
FALSE,large,200.2121,189.7483
FALSE,medium,24002.4872,23256.9945
FALSE,large,69.7751,88.5647
FALSE,small,4.1335,3.4397
FALSE,small,45.0118,20.7459
FALSE,small,23.4869,17.661
FALSE,small,23.7917,23.6613
FALSE,small,11.3185,9.0898
FALSE,large,25.6252,21.2059
FALSE,large,200.4669,194.4054
FALSE,large,112111.6628,81264.0889
FALSE,small,9329.2065,6030.4072
FALSE,small,35.1743,27.8576
FALSE,medium,2011.3538,4008.3771
FALSE,large,18000.6928,13599.9953
FALSE,small,24.8873,24.8744
FALSE,medium,33.4462,33.2013
FALSE,small,11.3912,7.3968
FALSE,small,49.2343,33.8367
FALSE,large,19.5912,11.5028
FALSE,small,11.1378,6.2503
FALSE,large,1245.9349,1219.7485
FALSE,large,18.3505,16.1339
FALSE,small,9.0959,6.6593
FALSE,small,2402.5687,2082.869
FALSE,small,101.3457,137.5309
FALSE,small,51.938,42.6234
FALSE,small,12497.2003,13079.5019
FALSE,large,39.5323,37.9794
FALSE,medium,35.5465,30.2975
FALSE,small,200.2406,372.4601
FALSE,small,91.71,101.6592
FALSE,small,501.2548,748.0091
FALSE,medium,27.0788,34.7502
FALSE,large,13.6288,6.2859
FALSE,small,11.1972,9.9426
FALSE,small,88.6943,63.5058
FALSE,large,1678.5956,1650.5665
FALSE,large,521.2087,512.4161
FALSE,small,21.6793,10.2552
FALSE,medium,1001.4761,1701.7966
FALSE,medium,10.5247,8.1357
FALSE,small,66.8792,65.0222
FALSE,small,21.2984,11.3833
FALSE,small,10.1382,2.6043
FALSE,large,67.1113,55.3225
FALSE,large,3.0204,1.783
FALSE,large,569.3265,554.7737
FALSE,small,7.4784,7.3994
FALSE,small,23.6009,23.5619
FALSE,large,140.6773,125.8108
FALSE,large,55746.8463,62777.9247
FALSE,small,1227.1743,680.2076
FALSE,small,11.2045,5.9032
FALSE,small,20.5711,20.2361
FALSE,small,28.1127,23.1871
FALSE,small,2000.6939,3151.2214
FALSE,large,153817.6569,229174.6934
FALSE,small,3601.315,3494.8499
FALSE,large,219.9115,215.087
FALSE,large,29.0272,26.8816
FALSE,small,1970.9086,1220.2514
FALSE,large,701.1501,678.5387
FALSE,small,7.2042,6.5434
FALSE,large,49.761,47.7882
FALSE,large,92.4734,48.816
FALSE,small,1950.4874,1864.3751
FALSE,small,3.7491,1.7237
FALSE,small,100.2019,127.9829
FALSE,small,180.7481,203.9669
FALSE,small,2990.2895,2243.9495
FALSE,large,261.5806,256.9655
FALSE,large,87.3322,84.132
FALSE,large,39.3308,39.1144
FALSE,small,27.4851,26.4355
FALSE,large,1332.7258,1331.8355
FALSE,small,36001.3397,31875.2654
FALSE,small,12.5409,12.3865
FALSE,small,60.8842,59.9651
FALSE,large,48.3639,45.36
FALSE,small,76.0766,60.8142
FALSE,large,1002.4742,951.2267
FALSE,large,42.7318,29.6095
FALSE,small,41.3705,40.3319
FALSE,small,25.3356,38.3327
FALSE,small,5.1532,2.4305
FALSE,large,46.6365,40.0792
FALSE,small,13.6072,8.6702
FALSE,small,14.6512,14.057
FALSE,small,628.7853,617.0124
FALSE,large,12002.0574,11497.6168
FALSE,small,116.5194,112.7908
FALSE,medium,1201.9783,1742.3853
FALSE,large,1001.9143,998.9835
FALSE,small,25.8313,18.1879
FALSE,small,51.1357,96.1725
FALSE,large,41.5653,37.3604
FALSE,large,201.6969,186.8163
FALSE,medium,59.0312,56.8998
FALSE,large,7.8705,7.0835
FALSE,medium,9.8166,7.6315
FALSE,small,21.2368,19.8697
FALSE,large,249.1071,236.4099
FALSE,medium,43.2263,40.8046
FALSE,small,10.7911,10.0438
FALSE,small,945.3944,389.8264
FALSE,medium,13.7616,12.0073
FALSE,medium,5.4596,8.6808
FALSE,small,1671.741,1460.8941
FALSE,large,201.1731,188.7838
FALSE,small,9.1447,4.7352
FALSE,medium,100.6201,178.2744
FALSE,small,100.1169,127.9868
FALSE,small,21.2013,15.5015
FALSE,small,13.9666,13.4487
FALSE,small,103.7148,183.4936
FALSE,large,201.9273,173.1405
FALSE,small,5.9676,5.4759
FALSE,large,91.0006,143.6129
FALSE,small,1939.1631,1507.102
FALSE,small,9.2528,8.7416
FALSE,small,14.7997,21.2235
FALSE,small,7.7417,6.752
FALSE,small,25090.3911,22122.8063
FALSE,small,6.3613,5.9003
FALSE,small,100.4431,120.2927
FALSE,large,451.4598,653.4214
FALSE,large,27.6618,22.637
FALSE,small,26.0679,18.9135
FALSE,small,21.6826,12.8869
FALSE,small,32.9576,31.8849
FALSE,small,21.4652,21.3696
FALSE,large,252.0216,227.3238
FALSE,large,383.3609,376.0755
FALSE,small,51.4168,48.0677
FALSE,small,452.383,451.074
FALSE,large,23.6997,11.7444
FALSE,small,50.4476,97.9615
FALSE,large,86.3652,83.3941
FALSE,large,4231.9603,8210.0661
FALSE,small,15.9894,10.3696
FALSE,large,20.6133,4.1227
FALSE,small,100.8363,98.9899
FALSE,large,1230.9822,1201.214
FALSE,large,153.8155,150.464
FALSE,small,2.4385,1.423
FALSE,small,14.1425,11.5026
FALSE,large,101.1174,97.9934
FALSE,small,5.5985,5.3575
FALSE,small,343.6392,340.4255
FALSE,small,21.3913,18.0821
FALSE,small,115.4413,130.7443
FALSE,small,201.8621,204.6362
FALSE,small,2706.0322,1527.4903
FALSE,small,27.754,21.823
FALSE,small,201.615,191.385
FALSE,small,8.7586,6.5476
FALSE,small,599.9716,557.2439
FALSE,large,42.3325,38.1441
FALSE,small,6001.2066,5817.804
FALSE,large,8982.3765,11172.6813
FALSE,small,3500.8064,4920.88
FALSE,small,12.2314,8.2548
FALSE,medium,31.2345,62.2438
FALSE,large,84025.8821,82468.5312
FALSE,small,31.3345,24.6728
FALSE,small,20.0665,11.8975
FALSE,medium,79.5566,116.4191
FALSE,small,2160.146,2721.4107
FALSE,small,105.0937,102.1973
FALSE,small,4.68,0.936
FALSE,large,6.327,4.4445
FALSE,large,109.1516,101.6533
FALSE,large,10612.2692,10109.3634
FALSE,large,151.5499,289.5337
FALSE,large,502.477,483.3364
FALSE,large,19.4405,3.8881
FALSE,small,71.4167,67.4904
FALSE,small,28.5352,28.1084
FALSE,large,25.4581,8.645
FALSE,large,11.9077,6.7079
FALSE,small,24.3257,19.0955
FALSE,large,67.4492,65.7153
FALSE,small,39.8976,44.2222
FALSE,small,16.9828,15.0869
FALSE,small,53.2308,70.4185
FALSE,small,215663.1061,210961.6239
FALSE,small,3.468,2.0859
FALSE,medium,11.2544,4.9166
FALSE,large,164.5177,160.0422
FALSE,small,17.5308,7.6272
FALSE,large,554.3122,509.0393
FALSE,small,7.3783,3.4158
FALSE,small,16.3131,9.4657
FALSE,large,101.3058,163.6252
FALSE,small,27.0025,23.9883
FALSE,small,13.8181,5.0816
FALSE,small,13.0701,2.614
FALSE,small,15.3891,12.8979
FALSE,medium,45039.3268,72341.8827
FALSE,large,1530.4267,1188.8324
FALSE,small,2.7896,1.1443
FALSE,large,7.357,6.0557
FALSE,large,113.6955,133.8505
FALSE,large,12.3754,3.2203
FALSE,large,502.0614,487.3001
FALSE,small,31.3208,26.513
FALSE,small,472.0788,224.9254
FALSE,small,4.4041,3.4414
FALSE,medium,18000.1233,19617.0342
FALSE,large,1500.9632,2245.5424
FALSE,small,22.4994,20.4292
FALSE,large,3.7844,1.1802
FALSE,small,18013.2953,17443.5302
FALSE,small,20.6736,17.5539
FALSE,large,31.9321,28.6009
FALSE,large,14.471,12.8875
FALSE,large,43.1207,38.2612
FALSE,medium,201.301,199.7156
FALSE,small,3.0405,1.6674
FALSE,small,47.5374,76.9925
FALSE,medium,5.5725,1.3465
FALSE,large,70.5925,65.3784
FALSE,small,14.4392,11.4975
FALSE,large,105.8047,167.4974
FALSE,small,8.3724,8.146
FALSE,large,210.1319,201.8613
FALSE,large,18.5307,16.5886
FALSE,small,28.3158,22.3245
FALSE,large,300.1743,530.2479
FALSE,large,6237.2559,4069.4136
FALSE,large,409.5027,390.4867
FALSE,small,27.0125,26.5645
FALSE,small,12.1395,10.2301
FALSE,small,15.1909,14.046
FALSE,small,9.8907,4.3778
FALSE,large,2673.6201,2608.8733
FALSE,large,136.0968,134.0406
FALSE,large,260.1698,220.3155
FALSE,small,7.0284,2.4265
FALSE,large,21.762,43.2893
FALSE,medium,300.4759,293.1206
FALSE,large,105.5974,104.6175
FALSE,large,24.8624,19.3467
FALSE,large,3.7175,2.3524
FALSE,large,91.2039,169.9006
FALSE,large,50.6915,42.2937
FALSE,large,52.4509,74.7554
FALSE,small,14.7969,14.0185
FALSE,small,64.9016,64.3336
FALSE,large,72.2145,69.0738
FALSE,small,20.5193,18.0469
FALSE,small,29.9155,29.8659
FALSE,large,32.2439,23.5179
FALSE,small,2834.3233,2296.5285
FALSE,small,46.0042,34.5995
FALSE,large,8.4811,4.7367
FALSE,large,3594.5585,5322.9687
FALSE,small,45.7962,79.2294
FALSE,large,167.1115,163.3686
FALSE,small,7.0773,6.8857
FALSE,large,46.5249,82.1442
FALSE,small,12570.2214,12443.3298
FALSE,small,180.1217,224.101
FALSE,large,37.1922,17.0378
FALSE,large,166.4509,157.5241
FALSE,large,65.5229,64.0312
FALSE,small,1562.0986,1447.9947
FALSE,large,8573.3014,8417.9888
FALSE,large,5.4971,4.4818
FALSE,medium,1002.2377,1350.7984
FALSE,small,29.0317,24.1221
FALSE,large,96000.9402,69613.1547
FALSE,small,98.1479,142.3001
FALSE,large,78938.2813,82694.9612
FALSE,small,4800.5035,4704.8084
FALSE,small,64.46,52.3495
FALSE,small,40.8369,77.3433
FALSE,large,31.4735,19.9508
FALSE,small,28.8464,28.7838
FALSE,small,58.7671,57.7514
FALSE,large,1000.3322,996.6973
FALSE,small,2401.1968,480.2394
FALSE,small,2241.2469,1477.2058
FALSE,large,4.6029,3.7344
FALSE,small,1258.9705,1141.611
FALSE,large,69.1935,51.4789
FALSE,small,711.0897,308.8598
FALSE,small,3.1131,2.9329
FALSE,medium,933.6457,792.0514
FALSE,large,2261.5039,3004.1973
FALSE,small,13908.5279,13009.047
FALSE,small,2149.052,1619.5822
FALSE,small,720.7565,1234.1529
FALSE,small,657.0672,1203.1215
FALSE,small,7.5321,1.7422
FALSE,large,887.7769,1453.8122
FALSE,large,1082.7075,1056.471
FALSE,small,1200.8115,1188.4856
FALSE,large,1501.399,2635.8783
FALSE,medium,37.612,44.6884
FALSE,small,5174.6225,4523.5884
FALSE,small,14.7461,7.9966
FALSE,large,95.8048,77.1459
FALSE,large,214.9045,242.6405
FALSE,small,5063.4576,4921.4765
FALSE,small,100.4208,94.1778
FALSE,small,235.3954,337.3515
FALSE,medium,374.799,360.9192
FALSE,small,1200.3848,913.5816
FALSE,small,9.6555,6.7124
FALSE,small,20.407,15.5088
FALSE,large,252.8741,238.4408
FALSE,small,100.0375,190.2577
FALSE,large,762.4029,746.6497
FALSE,small,20.5355,17.1465
FALSE,small,7.3788,5.3486
FALSE,large,21.3999,18.0224
FALSE,small,9.5727,7.2942
FALSE,large,136.7678,123.7893
FALSE,large,81.5717,72.5798
FALSE,small,4.033,3.85
FALSE,large,51.7601,40.2892
FALSE,small,50.7998,54.0298
FALSE,medium,78.6688,39.5386
FALSE,large,914.8793,859.1209
FALSE,small,11.3532,8.5218
FALSE,large,458.9521,455.5652
FALSE,small,55772.5144,49885.0127
FALSE,small,10.9141,9.1027
FALSE,small,4800.3289,4644.2517
FALSE,large,28.946,20.2541
FALSE,small,10.9902,10.011
FALSE,small,9.9768,8.4552
FALSE,small,26.7543,18.595
FALSE,small,100.1717,146.8657
FALSE,small,69.2617,64.3503
FALSE,large,201.1369,194.3985
FALSE,small,22.1077,17.0705
FALSE,large,320.4704,296.462
FALSE,large,7.3917,4.1079
FALSE,small,31435.3962,31204.5868
FALSE,large,24491.4002,28100.4974
FALSE,large,387.9371,376.0104
FALSE,large,34.7388,33.5326
FALSE,small,16.82,7.1461
FALSE,small,30.583,25.6041
FALSE,medium,18.6975,18.3991
FALSE,medium,100.5463,195.1925
FALSE,small,32.0179,30.2001
FALSE,large,130.6855,124.6436
FALSE,large,134.7261,126.2577
FALSE,small,3.1938,2.5976
FALSE,medium,3780.9928,3168.7257
FALSE,small,16.3105,14.5082
FALSE,medium,200.7869,200.5275
FALSE,large,50.5008,38.2397
FALSE,small,23442.8077,44885.546
FALSE,small,10.0276,7.0416
FALSE,small,6.4704,6.4214
FALSE,large,12.5247,6.6325
FALSE,small,100.1859,92.3612
FALSE,large,51.2898,42.151
FALSE,medium,21.4543,21.0086
FALSE,small,13.5266,13.524
FALSE,small,43.2776,58.9925
